,225,468,798,1269,1588,1693,2260,2285,2189,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2016-04-22 00:00:00,1.138749955,0.12775000150000002,3.9497500050000003,2.550000015,2.06650001,1.8109999875000002,0.94449996875,1.0579999975,4.916750072500001,10,3,0.0,14.5,2,100,08:32 PM,06:12 AM,05:45 AM,08:16 PM,4,3,5,3,22,29,94,0.0,1027,5,2,29,12,HU1
2016-04-22 01:00:00,1.1664999699999998,0.1390000005,3.7969999625,2.3139999799999997,1.8527500025,1.70850003,0.77799999725,1.0222499975000001,4.305500029999999,10,3,0.0,14.5,2,100,08:32 PM,06:12 AM,05:45 AM,08:16 PM,4,2,5,2,23,25,93,0.0,1027,5,5,31,13,HU1
2016-04-22 02:00:00,1.1664999699999998,0.17225000075,3.622499885,2.0999999625,1.8662499774999999,1.6777500225000002,0.7224999965000001,1.0167499930000001,4.11100006,10,3,0.0,14.5,2,100,08:32 PM,06:12 AM,05:45 AM,08:16 PM,4,2,5,2,24,20,92,0.0,1026,5,7,34,13,HU1
2016-04-22 03:00:00,1.3329999725000001,0.12225000175,3.7639999674999998,2.1249999725,1.9335000225,1.6612499975000001,0.77799999725,1.0417499825,4.2777501325,10,3,0.0,14.5,2,100,08:32 PM,06:12 AM,05:45 AM,08:16 PM,3,1,5,1,26,16,91,0.0,1026,5,10,36,14,HU1
2016-04-22 04:00:00,1.3329999725000001,0.183249999,4.5665000099999995,2.2390000225,2.61399996,1.9445000000000001,1.3889999975,1.164250015,5.7777500150000005,10,3,0.0,14.5,2,100,08:32 PM,06:12 AM,05:45 AM,08:16 PM,3,2,5,2,22,19,89,0.0,1026,5,10,30,12,HU1
2016-04-22 05:00:00,2.2497499575,0.63899999225,6.8749999125,2.9307499825,5.7332500225,3.2417500025000003,3.222250045,2.2249999625,10.33325005,10,3,0.0,14.5,2,100,08:32 PM,06:12 AM,05:45 AM,08:16 PM,4,3,5,3,18,22,88,0.0,1026,5,10,24,11,HU1
2016-04-22 06:00:00,4.222250045,1.2557499975,10.4889999725,4.4555000074999995,9.9692499725,5.17499995,5.555750012500001,4.01124996,18.222250000000003,10,3,0.0,14.5,2,100,08:32 PM,06:12 AM,05:45 AM,08:16 PM,4,4,6,4,14,26,86,0.0,1026,6,10,18,9,HU1
2016-04-22 07:00:00,4.6109999424999994,1.3972499975000001,12.21675005,5.088750005,10.53625015,5.1944999725,5.63899994,4.31099987,21.111249925000003,10,3,0.0,14.5,2,100,08:32 PM,06:12 AM,05:45 AM,08:16 PM,3,4,7,4,15,23,79,0.0,1026,7,10,28,12,HU1
2016-04-22 08:00:00,4.7222501025,1.1222499899999998,13.649750049999998,5.239000022499999,9.905500187500001,4.6054999825,4.8890000575000006,3.77474993,19.833250075,10,3,0.0,14.5,2,100,08:32 PM,06:12 AM,05:45 AM,08:16 PM,3,5,8,5,17,20,73,0.0,1025,8,10,38,14,HU1
2016-04-22 09:00:00,5.472249985,1.06399998275,13.497000125,5.25274998,9.0027501575,4.3777500400000005,4.1109999424999994,3.536000015,19.111000025,10,3,0.0,14.5,2,100,08:32 PM,06:12 AM,05:45 AM,08:16 PM,3,6,9,6,18,17,66,0.0,1025,8,10,48,16,HU1
